feature,importance
product_category_name,0.32776082
customer_state,0.31037128
seller_state,0.11608693
order_month,0.032255784
payment_type,0.023110192
seller_count,0.019729435
seller_historical_avg_review_score,0.01859655
seller_customer_distance_km,0.017650317
seller_historical_late_rate,0.017358411
category_historical_late_rate,0.016399594
category_historical_avg_delivery_days,0.013992829
estimated_delivery_days,0.012504192
order_item_count,0.008917116
freight_value,0.008703308
product_weight_g,0.007621813
product_count,0.007181334
seller_historical_order_volume,0.006852184
payment_value,0.0064421804
total_product_weight_g,0.0063800197
order_price,0.0062639206
payment_count,0.005493135
order_day_of_week,0.005482462
payment_installments,0.0048461533
